1 0 195
2 195 157
3 352 185
4 537 157
5 694 602
6 1296 636
7 1932 609
8 2541 654
9 3195 636
10 3831 613
11 4444 171
12 4615 583
13 5198 606
14 5804 669
15 6473 212
16 6685 158
17 6843 640
18 7483 152
19 7635 650
20 8285 620
21 8905 615
22 9520 618
23 10138 618
24 10756 618
25 11374 615
26 11989 609
27 12598 620
28 13218 624
29 13842 173
30 14015 636
31 14651 619
32 15270 606
33 15876 161
34 16037 612
35 16649 201
36 16850 665
37 17515 202
38 17717 608
39 18325 351
40 18676 173
41 18849 653
42 19502 638
43 20140 554
44 20694 621
45 21315 664
46 21979 617
47 22596 649
48 23245 634
49 23879 622
50 24501 642
51 25143 635
52 25778 645
53 26423 639
54 27062 198
55 27260 618
56 27878 616
57 28494 603
58 29097 637
59 29734 610
60 30344 658
61 31002 615
62 31617 611
63 32228 202
64 32430 536
65 32966 606
66 33572 192
67 33764 636
68 34400 621
69 35021 606
70 35627 207
71 35834 607
72 36441 160
73 36601 654
74 37255 606
75 37861 160
76 38021 178
77 38199 171
78 38370 198
79 38568 612
80 39180 640
81 39820 610
82 40430 653
83 41083 649
84 41732 616
85 42348 203
86 42551 536
87 43087 606
88 43693 189
89 43882 275
90 44157 292
91 44449 172
92 44621 636
93 45257 619
94 45876 198
95 46074 269
96 46343 291
97 46634 647
98 47281 160
99 47441 249
100 47690 607
101 48297 181
102 48478 615
103 49093 224
104 49317 642
105 49959 664
106 50623 616
107 51239 622
108 51861 617
109 52478 621
110 53099 170
111 53269 537
112 53806 641
113 54447 201
114 54648 183
115 54831 640
116 55471 619
117 56090 641
118 56731 193
119 56924 637
120 57561 175
121 57736 615
122 58351 179
123 58530 612
124 59142 641
125 59783 628
126 60411 661
127 61072 641
128 61713 651
129 62364 628
130 62992 655
131 63647 643
132 64290 641
133 64931 643
134 65574 637
135 66211 617
136 66828 187
137 67015 614
138 67629 603
139 68232 607
140 68839 610
141 69449 618
142 70067 626
143 70693 618
144 71311 641
145 71952 174
146 72126 583
147 72709 639
148 73348 181
149 73529 624
150 74153 606
151 74759 620
152 75379 641
153 76020 618
154 76638 620
155 77258 617
156 77875 203
157 78078 617
158 78695 648
159 79343 159
160 79502 626
161 80128 641
162 80769 649
163 81418 649
164 82067 160
165 82227 607
166 82834 198
167 83032 172
168 83204 178
169 83382 172
170 83554 600
171 84154 611
172 84765 618
173 85383 626
174 86009 619
175 86628 622
176 87250 173
177 87423 583
178 88006 641
179 88647 160
180 88807 610
181 89417 175
182 89592 621
183 90213 607
184 90820 641
185 91461 203
186 91664 614
187 92278 171
188 92449 624
189 93073 641
190 93714 198
191 93912 172
192 94084 153
193 94237 172
194 94409 601
195 95010 611
196 95621 619
197 96240 628
198 96868 620
199 97488 617
200 98105 173
201 98278 585
202 98863 639
203 99502 196
204 99698 623
205 100321 605
206 100926 641
207 101567 265
208 101832 615
209 102447 160
210 102607 624
211 103231 200
212 103431 689
213 104120 153
214 104273 626
215 104899 640
216 105539 175
217 105714 193
218 105907 175
219 106082 187
220 106269 175
221 106444 169
222 106613 175
223 106788 172
224 106960 187
225 107147 181
226 107328 602
227 107930 172
228 108102 582
229 108684 202
230 108886 618
231 109504 618
232 110122 604
233 110726 612
234 111338 619
235 111957 626
236 112583 619
237 113202 615
238 113817 170
239 113987 622
240 114609 607
241 115216 640
242 115856 640
243 116496 202
244 116698 612
245 117310 612
246 117922 180
247 118102 174
248 118276 154
249 118430 628
250 119058 640
251 119698 181
252 119879 153
253 120032 172
254 120204 197
255 120401 602
256 121003 615
257 121618 619
258 122237 628
259 122865 619
260 123484 616
261 124100 166
262 124266 582
263 124848 640
264 125488 186
